Title,Date
"Animales nocturnos","03/02/20"
"Cuentos de Terramar","02/02/20"
"","01/02/20"
"El mundo oculto de Sabrina: Parte 3: Capítulo veintiuno: El corazón destinado al infierno","01/02/20"
"Black Mirror: Temporada 2: Vuelvo enseguida","23/01/20"
"Perdidos en el espacio","22/01/20"
"Cómo ser soltera","22/01/20"
"Negocios fuera de control","20/01/20"
"Toc toc: Una comedia obsesivamente divertida","20/01/20"
"The Discovery","20/01/20"
"Muerte en el funeral","20/01/20"
"The Perfection","20/01/20"
"Mi vida a los diecisiete","17/01/20"
"Titanes: Temporada 2: Nightwing","15/01/20"
"Titanes: Temporada 2: El falso Halcón","15/01/20"
"Titanes: Temporada 2: E.L._.O.","15/01/20"
"Titanes: Temporada 2: Héroe caído","14/01/20"
"Titanes: Temporada 2: Expiación","14/01/20"
"Hogar dulce hogar","14/01/20"
"The Crown: Temporada 1: Noticia bomba","14/01/20"
"Titanes: Temporada 2: Jericho","14/01/20"
"The Crown: Temporada 1: Humo y espejos","14/01/20"
"31 Minutos: Temporada 4: Patana enamorada","14/01/20"
"31 Minutos: Temporada 4: Cirugía","14/01/20"
"31 Minutos: Temporada 4: La Mona Lisa","14/01/20"
"Titanes: Temporada 2: Bruce Wayne","14/01/20"
"Titanes: Temporada 2: Conner","14/01/20"
"Titanes: Temporada 2: Deathstroke","13/01/20"
"Titanes: Temporada 2: Aqualad","13/01/20"
"The Crown: Temporada 1: Fuerza mayor","13/01/20"
"The Crown: Temporada 1: Windsor","13/01/20"
"Spinning Out: Temporada 1: Bienvenidos a Sun Valley","13/01/20"
"Titanes: Temporada 2: Fantasmas","13/01/20"
"Titanes: Temporada 2: Rose","13/01/20"
"Titanes: Temporada 2: Trigon","12/01/20"
"The Crown: Temporada 1: Hyde Park Corner","12/01/20"
"Como caído del cielo","10/01/20"
"You: Temporada 2: Pánico y locura en Beverly Hills","07/01/20"
"You: Temporada 2: Crisis existencial","07/01/20"
"You: Temporada 2: Adiós, mi conejito","06/01/20"
"You: Temporada 2: ¡Buen findelasalud, Joe!","06/01/20"
"You: Temporada 2: El bueno, el malo y Hendy","05/01/20"
"You: Temporada 2: Amigos son los amigos","03/01/20"
"You: Temporada 2: Solo la puntita","02/01/20"
"You: Temporada 2: Borrón y cuenta nueva","02/01/20"
"You: Temporada 1: El castillo de Barba Azul","01/01/20"
"Perdidos en el espacio: Temporada 2: Noventa y siete","01/01/20"
"Perdidos en el espacio: Temporada 2: Engaño","01/01/20"
"Perdidos en el espacio: Temporada 2: Desconocido","01/01/20"
"Perdidos en el espacio: Temporada 2: Evolución","01/01/20"
"Perdidos en el espacio: Temporada 2: Aislados","01/01/20"
"Perdidos en el espacio: Temporada 2: Ecos","01/01/20"
"Perdidos en el espacio: Temporada 2: Corre","01/01/20"
"Perdidos en el espacio: Temporada 2: Espantapájaros","01/01/20"
"You: Temporada 1: Candace","31/12/19"
"You: Temporada 1: Soy tuyo","31/12/19"
"Perdidos en el espacio: Temporada 2: Precipicio","31/12/19"
"You: Temporada 1: Todalidad","30/12/19"
"You: Temporada 1: Amour fou","30/12/19"
"Perdidos en el espacio: Temporada 2: Náufragos","30/12/19"
"Perdidos en el espacio: Temporada 1: Peligro, Will Robinson","30/12/19"
"Perdidos en el espacio: Temporada 1: Resurrección","30/12/19"
"Perdidos en el espacio: Temporada 1: Trayectoria","30/12/19"
"Perdidos en el espacio: Temporada 1: Infestación","30/12/19"
"You: Temporada 1: Viviendo con el enemigo","29/12/19"
"You: Temporada 1: El Capitán","29/12/19"
"13 Reasons Why: Temporada 3: Hasta que llegó el huracán","25/12/19"
"Rick y Morty: Temporada 4: El anciano y el trono","24/12/19"
"Rick y Morty: Temporada 4: Aprovechando el mortymento: Vive, muere, Rickpeat","24/12/19"
"Navidad en casa: Temporada 1: ¿Un bebito o un papito?","22/12/19"
"13 Reasons Why: Temporada 3: La persona buena no se distingue de la mala","21/12/19"
"13 Reasons Why: Temporada 3: Hay un par de cosas que no conté","21/12/19"
"Navidad en casa: Temporada 1: Fiesta, fiesta, fiesta","21/12/19"
"Navidad en casa: Temporada 1: Citas y algo más","21/12/19"
"Navidad en casa: Temporada 1: La gran mentira navideña","21/12/19"
"Clásicos navideños de DreamWorks: Colección: Merry Madagascar","14/12/19"
"Clásicos navideños de DreamWorks: Colección: Play All Four: DreamWorks Holiday Classics","14/12/19"
"Tarjeta de Navidad","14/12/19"
"Días de Navidad: Temporada 1: Episodio 1","14/12/19"
"Yo antes de ti","14/12/19"
"The Crown: Temporada 1: Wolferton Splash","12/12/19"
"Rick y Morty: Temporada 3: Día de Rick y Morty","12/12/19"
"Rick y Morty: Temporada 1: Invasión canina","10/12/19"
"Aquarius: Temporada 2: Why Don't We Do It in the Road?","10/12/19"
"Rick y Morty: Temporada 1: Es hora de la fiesta","09/12/19"
"La nueva Cenicienta: Un deseo de Navidad","08/12/19"
"Aquarius: Temporada 2: Happiness Is a Warm Gun","07/12/19"
"Aquarius: Temporada 2: Helter Skelter","07/12/19"
"Aquarius: Temporada 1: Old Ego Is a Too Much Thing","07/12/19"
"Sin límites: Temporada 1: Piloto","06/12/19"
"Sin límites: Temporada 1: ¡Final! (Parte 2)","06/12/19"
"Sin límites: Temporada 1: ¡Final! (Parte 1)","06/12/19"
"Sin límites: Temporada 1: Hola, me llamo Rebecca Harris...","06/12/19"
"Sin límites: Temporada 1: El desayuno de un perro","06/12/19"
"Sin límites: Temporada 1: Bezgranichnyy","06/12/19"
"Sin límites: Temporada 1: Encuentros","06/12/19"
"Sin límites: Temporada 1: Sands, agente de Morra","05/12/19"
"Aquarius: Temporada 1: (Please Let Me Love You and) It Won't Be Wrong","05/12/19"
"Aquarius: Temporada 1: Your Mother Should Know","04/12/19"
"Sin límites: Temporada 1: ¡Infiltrado!","04/12/19"
"Sin límites: Temporada 1: Los fundamentos del arte de retratar desnudos","04/12/19"
"En nombre del amor","03/12/19"
"Aquarius: Temporada 1: It's Alright Ma (I'm Only Bleeding)","01/12/19"
"Aquarius: Temporada 1: Why?","01/12/19"
"Aquarius: Temporada 1: Sick City","01/12/19"
"Aquarius: Temporada 1: Cease to Resist","01/12/19"
"Sin límites: Temporada 1: Deténganme antes de que abrace otra vez","30/11/19"
"Aquarius: Temporada 1: A Whiter Shade of Pale","30/11/19"
"Aquarius: Temporada 1: A Change Is Gonna Come","29/11/19"
"Aquarius: Temporada 1: Home Is Where You're Happy","29/11/19"
"Sin límites: Temporada 1: El asesinato de Eddie Morra","28/11/19"
"Sin límites: Temporada 1: Aquí tienes a Brian puesto de drogas","28/11/19"
"Sin límites: Temporada 1: Brad-zilla","28/11/19"
"Sin límites: Temporada 1: ¡Sede central!","28/11/19"
"Sin límites: Temporada 1: Cuando los piratas piratean a los piratas","28/11/19"
"Sin límites: Temporada 1: La operación encubierta de Brian Finch","28/11/19"
"Sin límites: Temporada 1: Los efectos secundarios pueden incluir","28/11/19"
"Sin límites: Temporada 1: Crisis de personalidad","28/11/19"
"Sin límites: Temporada 1: Página 44","28/11/19"
"Aquarius: Temporada 1: Never Say Never to Always","26/11/19"
"Sin límites: Temporada 1: La leyenda de Marco Ramos","25/11/19"
"Sin límites: Temporada 1: ¡Placa! ¡Arma!","25/11/19"
"La música del terremoto","25/11/19"
"The Saint","25/11/19"
"Rápidos y furiosos 8","25/11/19"
"Aquarius: Temporada 1: The Hunter Gets Captured by the Game","24/11/19"
"Aquarius: Temporada 1: Everybody's Been Burned","24/11/19"
"Mad Men: Temporada 3: Fuera de la ciudad","23/11/19"
"Mad Men: Temporada 2: Meditaciones en una emergencia","23/11/19"
"Mad Men: Temporada 2: El rey de la montaña","23/11/19"
"Pottersville","23/11/19"
"Mad Men: Temporada 2: Jet set","22/11/19"
"Mad Men: Temporada 2: La herencia","22/11/19"
"Better Call Saul: Temporada 4: Respira","22/11/19"
"Flash: Temporada 5: La joven con el rayo rojo","21/11/19"
"Detrás de cámaras de El Camino: Una película de Breaking Bad","21/11/19"
"El Camino: Una película de Breaking Bad","20/11/19"
"Batman: Mala sangre","20/11/19"
"Noches blancas","18/11/19"
"La mecánica del hombre","18/11/19"
"Criminal: España: Temporada 1: Carmen","18/11/19"
"The Bletchley Circle: Serie 1: Descifrar el código del asesino (Parte 1)","18/11/19"
"The Sinner: Julian: Parte II","18/11/19"
"The Sinner: Julian: Parte I","18/11/19"
"Marcella: Temporada 1: Episodio 1","18/11/19"
"The Code: Temporada 1: Episodio 1","18/11/19"
"Franco Escamilla: Bienvenido al mundo","18/11/19"
"Franco Escamilla: Por la anécdota","18/11/19"
"Klaus","18/11/19"
"El rey","17/11/19"
"7 deseos","16/11/19"
"Wild Wild West: Las aventuras de Jim West","15/11/19"
"Once Upon a Holiday","11/11/19"
"Arrow: Temporada 7: Has salvado esta ciudad","08/11/19"
"Arrow: Temporada 7: Prueba viviente","08/11/19"
"Arrow: Temporada 7: Confesiones","08/11/19"
"Arrow: Temporada 7: El canario perdido","08/11/19"
"Arrow: Temporada 7: Espartano","08/11/19"
"Arrow: Temporada 7: Herencia","08/11/19"
"El método Kominsky: Temporada 1: Capitulo 2: Un representante sufre","06/11/19"
"El método Kominsky: Temporada 1: Capítulo 1: Un actor evita","06/11/19"
"The Blacklist: Temporada 6: Robert Diaz (N.º 15)","04/11/19"
"The Blacklist: Temporada 6: Anna McMahon (N.º 60)","04/11/19"
"The Blacklist: Temporada 6: Guillermo Rizal (N.º 128)","04/11/19"
"","03/11/19"
"Better Call Saul: Temporada 4: Qué locura, ¿no?","02/11/19"
"Better Call Saul: Temporada 1: Héroe","02/11/19"
"Better Call Saul: Temporada 1: Nacho","02/11/19"
"Better Call Saul: Temporada 1: Mijo","02/11/19"
"Better Call Saul: Temporada 1: Uno","01/11/19"
"Breaking Bad: Temporada 5: Felina","01/11/19"
"Breaking Bad: Temporada 5: Pizarra de granito","01/11/19"
"Breaking Bad: Temporada 5: Ozymandias","01/11/19"
"Breaking Bad: Temporada 5: Tohajiilee","01/11/19"
"Breaking Bad: Temporada 5: Perro rabioso","01/11/19"
"Breaking Bad: Temporada 5: Confesiones","31/10/19"
"Breaking Bad: Temporada 5: Enterrado","31/10/19"
"Breaking Bad: Temporada 5: Dinero sangriento","30/10/19"
"Breaking Bad: Temporada 5: Planeando sobre todos","30/10/19"
"Breaking Bad: Temporada 5: Di mi nombre","28/10/19"
"Breaking Bad: Temporada 5: Adquisición","28/10/19"
"Breaking Bad: Temporada 5: Carga de muerte","28/10/19"
"Breaking Bad: Temporada 5: 51 (Cincuenta y uno)","28/10/19"
"Breaking Bad: Temporada 5: Peligro","28/10/19"
"Breaking Bad: Temporada 5: Madrigal","28/10/19"
"Breaking Bad: Temporada 5: Vive libre o muere","28/10/19"
"Breaking Bad: Temporada 4: Cara a cara","27/10/19"
"Breaking Bad: Temporada 4: Fin de los tiempos","27/10/19"
"Breaking Bad: Temporada 4: Entrepiso","27/10/19"
"Breaking Bad: Temporada 4: Salud","27/10/19"
"Breaking Bad: Temporada 4: Micrófono","27/10/19"
"Breaking Bad: Temporada 4: Hermanos","27/10/19"
"Breaking Bad: Temporada 4: Perro problemático","27/10/19"
"Breaking Bad: Temporada 4: Arrinconados","26/10/19"
"Breaking Bad: Temporada 4: Copiloto","26/10/19"
"Breaking Bad: Temporada 4: Puntos clave","26/10/19"
"Breaking Bad: Temporada 4: Casa abierta","24/10/19"
"Breaking Bad: Temporada 4: Revólver calibre 38","24/10/19"
"Breaking Bad: Temporada 4: Navaja","24/10/19"
"Breaking Bad: Temporada 3: Medidas totales","24/10/19"
"Breaking Bad: Temporada 3: Medias medidas","22/10/19"
"Breaking Bad: Temporada 3: Abiquiú","22/10/19"
"Breaking Bad: Temporada 3: Vuelo","22/10/19"
"Breaking Bad: Temporada 3: Kafkiano","21/10/19"
"Breaking Bad: Temporada 3: Te veo","21/10/19"
"Breaking Bad: Temporada 3: Un minuto","21/10/19"
"Breaking Bad: Temporada 3: Atardecer","20/10/19"
"Breaking Bad: Temporada 3: Más","20/10/19"
"Breaking Bad: Temporada 3: Luz verde","19/10/19"
"Breaking Bad: Temporada 3: T. S. T.","19/10/19"
"Breaking Bad: Temporada 3: Caballo sin nombre","17/10/19"
"Breaking Bad: Temporada 3: No más","17/10/19"
"The Blacklist: Temporada 6: Rassvet","16/10/19"
"The Blacklist: Temporada 6: El asesino de Brockton (N.º 92)","16/10/19"
"The Blacklist: Temporada 6: El Tercer Estado (N.º 136)","16/10/19"
"Breaking Bad: Temporada 2: ABQ","16/10/19"
"The Blacklist: Temporada 6: Olivia Olson (N.º 115)","16/10/19"
"The Blacklist: Temporada 1: Piloto","16/10/19"
"The Blacklist: Temporada 6: Señora Suerte (N.º 69)","15/10/19"
"Breaking Bad: Temporada 2: Phoenix","15/10/19"
"Breaking Bad: Temporada 2: Mandala","15/10/19"
"The Blacklist: Temporada 6: Compañía de Paraguas Osterman (N.º 6)","14/10/19"
"The Blacklist: Temporada 6: Robert Vesco (N.º 9)","14/10/19"
"Breaking Bad: Temporada 2: Terminado","14/10/19"
"Breaking Bad: Temporada 2: Cuatro días afuera","14/10/19"
"Breaking Bad: Temporada 2: ¡Llama a Saul!","14/10/19"
"Breaking Bad: Temporada 2: Negro y azul","13/10/19"
"Breaking Bad: Temporada 2: Cucú","13/10/19"
"Breaking Bad: Temporada 1: Un loco puñado de nada","13/10/19"
"Criminal: Reino Unido: Temporada 1: Jay","13/10/19"
"Criminal: Reino Unido: Temporada 1: Stacey","13/10/19"
"Criminal: Reino Unido: Temporada 1: Edgar","13/10/19"
"Fractura","13/10/19"
"The Blacklist: Temporada 6: Bastien Moreau (N.º 20): Conclusión","12/10/19"
"The Blacklist: Temporada 6: Bastien Moreau (N.º 20)","12/10/19"
"The Blacklist: Temporada 6: El criptobanquero (N.º 160)","12/10/19"
"The Blacklist: Temporada 6: Ministro D (N.º 99)","12/10/19"
"The Blacklist: Temporada 6: Marko Jankowics (N.º 58)","12/10/19"
"The Blacklist: Temporada 6: El general Shiro (N.º 116)","12/10/19"
"The Blacklist: Temporada 6: El eticista (N.º 91)","12/10/19"
"The Blacklist: Temporada 6: Alter ego (N.º 131)","12/10/19"
"The Blacklist: Temporada 6: Los prestamistas (N.º 146/147)","12/10/19"
"The Blacklist: Temporada 6: El farmacéutico (N.º 124)","12/10/19"
"Rick y Morty: Temporada 1: Encuentros cercanos a lo Rick","12/10/19"
"Rick y Morty: Temporada 1: Cosas necesarias","12/10/19"
"Swiped","12/10/19"
"En la mente criminal: Temporada 1: Asesinos en serie","11/10/19"
"The Alienist: El niño en el puente","11/10/19"
"Ocultos por la Luna","10/10/19"
"Altered Carbon: Temporada 1: ¿Ángel o diablo?","09/10/19"
"Así nos ven: Miniserie: Parte 3","09/10/19"
"Así nos ven: Miniserie: Parte 2","09/10/19"
"La niebla: Temporada 1: Piloto","09/10/19"
"13 Reasons Why: Temporada 3: Enojado, joven y hombre","05/10/19"
"13 Reasons Why: Temporada 3: Sí, soy la chica nueva","05/10/19"
"The Blacklist: Temporada 6: El Corso (N.º 20)","04/10/19"
"Ascension: Capítulo tres (Parte 2)","01/10/19"
"Ascension: Capítulo tres (Parte 1)","01/10/19"
"Ascension: Capítulo dos (Parte 2)","30/09/19"
"Ascension: Capítulo dos (Parte 1)","30/09/19"
"Ascension: Capítulo uno (Parte 2)","30/09/19"
"Ascension: Capítulo uno (Parte 1)","30/09/19"
"Psicópata americano","30/09/19"
"NARUTO: Temporada 1: Enter: Naruto Uzumaki!","29/09/19"
"How to Get Away With Murder: Temporada 1: Piloto","23/09/19"
"The Blacklist: Temporada 6: Dr. Hans Kohler (N.º 33)","22/09/19"
"Triple frontera","20/09/19"
"Tiempos violentos","19/09/19"
"El asesinato de Gianni Versace: American Crime Story: Temporada 1: Un libro y un arma","19/09/19"
"Manhunt: Unabomber: EE. UU. contra Theodore J. Kaczynski","17/09/19"
"Manhunt: Unabomber: Lincoln","17/09/19"
"Manhunt: Unabomber: Ted","17/09/19"
"Love, Death & Robots: Volumen 1: MÁS ALLÁ DE LA GRIETA","16/09/19"
"Neon Genesis Evangelion: Temporada 1: El ataque del ángel","16/09/19"
"A mi altura","16/09/19"
"¿...Y dónde están las rubias?","16/09/19"
"Verónica","16/09/19"
"El gran pez","16/09/19"
"Manhunt: Unabomber: Refugio","13/09/19"
"Manhunt: Unabomber: Fruto del árbol venenoso","13/09/19"
"Manhunt: Unabomber: Publicar o perecer","12/09/19"
"Manhunt: Unabomber: Gua pura","11/09/19"
"Manhunt: Unabomber: UNABOM","11/09/19"
"Rick y Morty: Temporada 1: Criando un Gazorpazorp","10/09/19"
"Rick y Morty: Temporada 1: La poción de Rick","10/09/19"
"Rick y Morty: Temporada 3: Descanso y Ricklajación","10/09/19"
"Así nos ven: Miniserie: Parte 1","09/09/19"
"Operación hermanos","09/09/19"
"Kardec","09/09/19"
"Shaft","07/09/19"
"Rick y Morty: Temporada 2: El día de la purga","07/09/19"
"Capitán América: Guerra civil","06/09/19"
"13 Reasons Why: Temporada 3: Dejemos que los muertos entierren a los muertos","04/09/19"
"13 Reasons Why: Temporada 3: El cerco se cierra","02/09/19"
"13 Reasons Why: Temporada 3: Siempre esperas la próxima mala noticia","01/09/19"
"13 Reasons Why: Temporada 3: En la secundaria, es difícil saber quién está de tu lado","01/09/19"
"13 Reasons Why: Temporada 3: Hay una serie de problemas con Clay Jensen","01/09/19"
"Rick y Morty: Temporada 2: Rick, vengador del futuro","01/09/19"
"13 Reasons Why: Temporada 3: Se puede decir mucho sobre una persona por su dolor","31/08/19"
"13 Reasons Why: Temporada 3: Nadie está limpio","31/08/19"
"Venganza fatal","30/08/19"
"13 Reasons Why: Temporada 3: Si respiras, mientes","28/08/19"
"Conversaciones con asesinos: Las cintas de Ted Bundy: Miniserie: No me toca velarlo","28/08/19"
"MINDHUNTER: Temporada 2: Episodio 9","28/08/19"
"MINDHUNTER: Temporada 2: Episodio 8","28/08/19"
"MINDHUNTER: Temporada 2: Episodio 7","28/08/19"
"MINDHUNTER: Temporada 2: Episodio 6","28/08/19"
"MINDHUNTER: Temporada 2: Episodio 5","26/08/19"
"Stranger Things: Stranger Things 3: Capítulo ocho: La batalla de Starcourt","21/08/19"
"MINDHUNTER: Temporada 2: Episodio 4","21/08/19"
"MINDHUNTER: Temporada 2: Episodio 3","21/08/19"
"MINDHUNTER: Temporada 2: Episodio 2","21/08/19"
"MINDHUNTER: Temporada 2: Episodio 1","21/08/19"
"Sextillizos","21/08/19"
"MINDHUNTER: Temporada 1: Episodio 10","21/08/19"
"Rick y Morty: Temporada 2: Morty escapa en la noche","21/08/19"
"Rick y Morty: Temporada 2: Rupturas en el tiempo","21/08/19"
"La maldición de Hill House: The Haunting of Hill House: El silencio oprime incesante","20/08/19"
"La maldición de Hill House: The Haunting of Hill House: Pesadillas horribles","20/08/19"
"La maldición de Hill House: The Haunting of Hill House: Marcas testigo","20/08/19"
"La maldición de Hill House: The Haunting of Hill House: Cosa de gemelos","20/08/19"
"La maldición de Hill House: The Haunting of Hill House: El toque","18/08/19"
"La maldición de Hill House: The Haunting of Hill House: Ataúd abierto","18/08/19"
"Titanes: Temporada 1: Dick Grayson","11/08/19"
"Titanes: Temporada 1: Koriand'r","11/08/19"
"Titanes: Temporada 1: Hank y Dawn","11/08/19"
"Titanes: Temporada 1: Donna Troy","11/08/19"
"Titanes: Temporada 1: El manicomio","11/08/19"
"Titanes: Temporada 1: Jason Todd","10/08/19"
"Titanes: Temporada 1: Juntos","10/08/19"
"Titanes: Temporada 1: Patrulla condenada","10/08/19"
"Titanes: Temporada 1: Orígenes","10/08/19"
"Titanes: Temporada 1: El halcón y la paloma","10/08/19"
"Titanes: Temporada 1: Titanes","10/08/19"
"Stranger Things: Stranger Things 3: Capítulo siete: La picadura","09/08/19"
"Marvel - Jessica Jones: Temporada 1: AKA Noche de chicas","08/08/19"
"Stranger Things: Stranger Things 3: Capítulo seis: E pluribus unum","08/08/19"
"Stranger Things: Stranger Things 3: Capítulo cinco: Los desollados","07/08/19"
"Stranger Things: Stranger Things 3: Capítulo tres: El caso de la guardavidas perdida","07/08/19"
"Stranger Things: Stranger Things 3: Capítulo cuatro: La prueba del sauna","06/08/19"
"Stranger Things: Stranger Things 3: Capítulo dos: Ratas de centro comercial","05/08/19"
"Shaft","04/08/19"
"Mau Nieto: Viviendo sobrio… desde el bar","02/08/19"
"Daniel Sosa: Maleducado","02/08/19"
"Stranger Things: Stranger Things 3: Capítulo uno: ¿Me copias, Suzie?","02/08/19"
"Rick y Morty: Temporada 3: Los vindicadores: El regreso de Destructor de Mundos","02/08/19"
"Rick y Morty: Temporada 3: Pepinillo Rick","02/08/19"
"Rick y Morty: Temporada 3: ABC de Beth","02/08/19"
"Réplicas","01/08/19"
"Como si fuera la primera vez","01/08/19"
"Los siete pecados capitales","01/08/19"
"12 monos","01/08/19"
"El juego de Gerald","31/07/19"
"Brooklyn Nine-Nine: Temporada 4: Crimen y castigo","30/07/19"
"Brooklyn Nine-Nine: Temporada 4: Riesgo bancario","30/07/19"
"Brooklyn Nine-Nine: Temporada 4: El matadero","30/07/19"
"Rick y Morty: Temporada 3: Los recuerdos de Morty","30/07/19"
"Brooklyn Nine-Nine: Temporada 4: Su Señoría","29/07/19"
"Brooklyn Nine-Nine: Temporada 4: Persiguiendo a Amy","29/07/19"
"Brooklyn Nine-Nine: Temporada 4: Poli-Con","29/07/19"
"Brooklyn Nine-Nine: Temporada 4: Moo Moo","29/07/19"
"Brooklyn Nine-Nine: Temporada 4: La última aventura","29/07/19"
"Brooklyn Nine-Nine: Temporada 4: Servir y proteger","29/07/19"
"Brooklyn Nine-Nine: Temporada 4: La auditoría","29/07/19"
"Brooklyn Nine-Nine: Temporada 4: El fugitivo (Parte 2)","29/07/19"
"Brooklyn Nine-Nine: Temporada 4: El fugitivo (Parte 1)","29/07/19"
"Brooklyn Nine-Nine: Temporada 4: Capitán Letonia","29/07/19"
"Brooklyn Nine-Nine: Temporada 4: Nigrado","29/07/19"
"Brooklyn Nine-Nine: Temporada 4: El ciclo Skyfire","29/07/19"
"El plan perfecto","29/07/19"
"Déjà Vu","28/07/19"
"Nos vemos ayer","28/07/19"
"AlphaGo","28/07/19"
"Brooklyn Nine-Nine: Temporada 4: Sr. Santiago","28/07/19"
"Brooklyn Nine-Nine: Temporada 4: El monstruo del clóset","28/07/19"
"El gran truco","27/07/19"
"Brooklyn Nine-Nine: Temporada 4: Halloween IV","27/07/19"
"Brooklyn Nine-Nine: Temporada 4: El turno de noche","27/07/19"
"Brooklyn Nine-Nine: Temporada 4: Coral Palms (Parte 3)","27/07/19"
"Brooklyn Nine-Nine: Temporada 4: Coral Palms (Parte 2)","27/07/19"
"Brooklyn Nine-Nine: Temporada 4: Coral Palms (Parte 1)","27/07/19"
"Brooklyn Nine-Nine: Temporada 3: Greg y Larry","27/07/19"
"Brooklyn Nine-Nine: Temporada 3: El buró","27/07/19"
"Brooklyn Nine-Nine: Temporada 3: Máxima seguridad","27/07/19"
"Brooklyn Nine-Nine: Temporada 3: Paranoia","27/07/19"
"Brooklyn Nine-Nine: Temporada 3: Los gatitos de Terry","27/07/19"
"Brooklyn Nine-Nine: Temporada 3: Cheddar","27/07/19"
"Señales","26/07/19"
"Brooklyn Nine-Nine: Temporada 3: Adrian Pimento","26/07/19"
"Brooklyn Nine-Nine: Temporada 3: Ratones caseros","26/07/19"
"Brooklyn Nine-Nine: Temporada 3: La 9-8","26/07/19"
"Brooklyn Nine-Nine: Temporada 3: Karen Peralta","26/07/19"
"El origen","26/07/19"
"Brooklyn Nine-Nine: Temporada 3: El crucero","25/07/19"
"Brooklyn Nine-Nine: Temporada 3: 9 días","25/07/19"
"Otra vida: Temporada 1: Por todo el universo","25/07/19"
"Brooklyn Nine-Nine: Temporada 3: Situación con rehenes","25/07/19"
"Brooklyn Nine-Nine: Temporada 3: Yippie Kayak","25/07/19"
"Brooklyn Nine-Nine: Temporada 3: Los suecos","25/07/19"
"Brooklyn Nine-Nine: Temporada 3: Ava","25/07/19"
"Mad Men: Temporada 2: Permiso de seis meses","24/07/19"
"Mad Men: Temporada 2: Una noche inolvidable","24/07/19"
"Brooklyn Nine-Nine: Temporada 3: El colchón","24/07/19"
"Brooklyn Nine-Nine: Temporada 3: En el bosque","24/07/19"
"Brooklyn Nine-Nine: Temporada 3: Halloween III","24/07/19"
"Brooklyn Nine-Nine: Temporada 3: El asesino del té oolong","24/07/19"
"Brooklyn Nine-Nine: Temporada 3: La corazonada de Boyle","23/07/19"
"Brooklyn Nine-Nine: Temporada 3: El funeral","23/07/19"
"Brooklyn Nine-Nine: Temporada 3: Capitán nuevo","23/07/19"
"Brooklyn Nine-Nine: Temporada 2: Johnny y Dora","23/07/19"
"Brooklyn Nine-Nine: Temporada 2: El helicóptero","23/07/19"
"Brooklyn Nine-Nine: Temporada 2: El detective Dave Majors","23/07/19"
"Brooklyn Nine-Nine: Temporada 2: AC/DC","22/07/19"
"Brooklyn Nine-Nine: Temporada 2: Sabotaje","22/07/19"
"Brooklyn Nine-Nine: Temporada 2: Capitán Peralta","22/07/19"
"Brooklyn Nine-Nine: Temporada 2: La boda Boyle-Linetti","22/07/19"
"Brooklyn Nine-Nine: Temporada 2: El incidente del miércoles","22/07/19"
"Brooklyn Nine-Nine: Temporada 2: La ciudad de los rompevientos","22/07/19"
"Brooklyn Nine-Nine: Temporada 2: La defensa descansa","22/07/19"
"Brooklyn Nine-Nine: Temporada 2: Pago de deudas","22/07/19"
"Brooklyn Nine-Nine: Temporada 2: La casa de playa","22/07/19"
"Brooklyn Nine-Nine: Temporada 2: La vigilancia","22/07/19"
"Brooklyn Nine-Nine: Temporada 2: El regreso del ladrón de Pontiacs","21/07/19"
"Brooklyn Nine-Nine: Temporada 2: El viaje","21/07/19"
"Brooklyn Nine-Nine: Temporada 2: El USPIS","21/07/19"
"Brooklyn Nine-Nine: Temporada 2: Aislamiento","21/07/19"
"Brooklyn Nine-Nine: Temporada 2: Jake y Sophia","21/07/19"
"Brooklyn Nine-Nine: Temporada 2: El topo","20/07/19"
"Brooklyn Nine-Nine: Temporada 2: Halloween II","20/07/19"
"Brooklyn Nine-Nine: Temporada 2: Los juegos Jimmy Jab","20/07/19"
"Brooklyn Nine-Nine: Temporada 2: Batido de chocolate","20/07/19"
"Brooklyn Nine-Nine: Temporada 2: Infiltrado","20/07/19"
"Brooklyn Nine-Nine: Temporada 1: Cargos y especificaciones","20/07/19"
"Brooklyn Nine-Nine: Temporada 1: Irresoluble","20/07/19"
"Brooklyn Nine-Nine: Temporada 1: Elegante Brudgom","20/07/19"
"Brooklyn Nine-Nine: Temporada 1: Entrenamiento táctico","19/07/19"
"La casa del lago","19/07/19"
"The Society: Temporada 1: Lo que pasó","19/07/19"
"Brooklyn Nine-Nine: Temporada 1: El apartamento","19/07/19"
"Brooklyn Nine-Nine: Temporada 1: Boyle a mil","19/07/19"
"Brooklyn Nine-Nine: Temporada 1: La fiesta","19/07/19"
"Brooklyn Nine-Nine: Temporada 1: Operación ala rota","19/07/19"
"Brooklyn Nine-Nine: Temporada 1: El halcón de ébano","19/07/19"
"Brooklyn Nine-Nine: Temporada 1: La apuesta","19/07/19"
"Brooklyn Nine-Nine: Temporada 1: El ladrón de Pontiacs","19/07/19"
"Brooklyn Nine-Nine: Temporada 1: Navidad","18/07/19"
"Brooklyn Nine-Nine: Temporada 1: Acción de Gracias","18/07/19"
"Brooklyn Nine-Nine: Temporada 1: Pizza de Sal","18/07/19"
"Brooklyn Nine-Nine: Temporada 1: La vieja escuela","18/07/19"
"Brooklyn Nine-Nine: Temporada 1: 48 horas","18/07/19"
"Brooklyn Nine-Nine: Temporada 1: Halloween","18/07/19"
